買賣單位,symbol,name,currency,exchange,industry,買賣單位
"5,000",00401,萬嘉集團,HKD,HKEX, ,"5,000"
"20,000",00402,天下圖控股,HKD,HKEX, ,"20,000"
"2,000",00403,星光集團,HKD,HKEX, ,"2,000"
"2,000",00404,新昌集團控股,HKD,HKEX, ,"2,000"
"2,000",00406,有利集團,HKD,HKEX, ,"2,000"
"2,000",00408,葉氏化工集團,HKD,HKEX, ,"2,000"
500,00410,ＳＯＨＯ中國,HKD,HKEX, ,500
"1,000",00411,南順（香港）,HKD,HKEX, ,"1,000"
"6,000",00412,中國新金融,HKD,HKEX, ,"6,000"
"8,000",00413,南華集團控股,HKD,HKEX, ,"8,000"
"1,000",00416,錦州銀行,HKD,HKEX, ,"1,000"
"2,000",00417,謝瑞麟,HKD,HKEX, ,"2,000"
"2,000",00418,方正控股,HKD,HKEX, ,"2,000"
"10,000",00419,華誼騰訊娛樂,HKD,HKEX, ,"10,000"
"2,000",00420,福田實業,HKD,HKEX, ,"2,000"
"1,000",00422,越南製造加工出口,HKD,HKEX, ,"1,000"
"2,000",00423,經濟日報集團,HKD,HKEX, ,"2,000"
"2,000",00425,敏實集團,HKD,HKEX, ,"2,000"
"2,000",00426,萬華媒體,HKD,HKEX, ,"2,000"
"2,000",00430,東方網庫,HKD,HKEX, ,"2,000"
"4,000",00431,大中華金融,HKD,HKEX, ,"4,000"
"1,000",00432,盈大地產,HKD,HKEX, ,"1,000"
"10,000",00433,北方礦業,HKD,HKEX, ,"10,000"
"1,000",00434,博雅互動,HKD,HKEX, ,"1,000"
"20,000",00436,新宇環保,HKD,HKEX, ,"20,000"
"2,000",00438,彩虹新能源,HKD,HKEX, ,"2,000"
"1,000",00439,光啟科學,HKD,HKEX, ,"1,000"
400,00440,大新金融,HKD,HKEX, ,400
"1,000",00442,KTL INT'L,HKD,HKEX, ,"1,000"
"10,000",00444,SINCEREWATCH HK,HKD,HKEX, ,"10,000"
"5,000",00445,中國消防,HKD,HKEX, ,"5,000"
"2,000",00449,志高控股,HKD,HKEX, ,"2,000"
"2,000",00450,鴻興印刷集團,HKD,HKEX, ,"2,000"
"2,000",00451,協鑫新能源,HKD,HKEX, ,"2,000"
"2,000",00455,天大藥業,HKD,HKEX, ,"2,000"
"20,000",00456,新城市建設發展,HKD,HKEX, ,"20,000"
"1,000",00458,聯亞集團,HKD,HKEX, ,"1,000"
"10,000",00459,美聯工商舖,HKD,HKEX, ,"10,000"
"1,000",00460,四環醫藥,HKD,HKEX, ,"1,000"
"4,000",00462,天然乳品,HKD,HKEX, ,"4,000"
"4,000",00464,建福集團,HKD,HKEX, ,"4,000"
"2,000",00465,富通科技,HKD,HKEX, ,"2,000"
"2,000",00467,聯合能源集團,HKD,HKEX, ,"2,000"
"1,000",00468,紛美包裝,HKD,HKEX, ,"1,000"
"4,000",00469,凱普松國際,HKD,HKEX, ,"4,000"
"4,000",00471,中播控股,HKD,HKEX, ,"4,000"
"10,000",00472,新絲路文旅,HKD,HKEX, ,"10,000"
"6,000",00474,昊天發展集團,HKD,HKEX, ,"6,000"
"2,000",00475,中發展控股,HKD,HKEX, ,"2,000"
"10,000",00476,中國動力控股,HKD,HKEX, ,"10,000"
"20,000",00479,華建控股,HKD,HKEX, ,"20,000"
800,00480,香港興業國際,HKD,HKEX, ,800
"2,000",00482,聖馬丁國際,HKD,HKEX, ,"2,000"
"2,000",00483,包浩斯國際,HKD,HKEX, ,"2,000"
100,00484,雲遊控股,HKD,HKEX, ,100
"20,000",00485,中國華星,HKD,HKEX, ,"20,000"
"1,000",00486,RUSAL,HKD,HKEX, ,"1,000"
"4,000",00487,實德環球,HKD,HKEX, ,"4,000"
"15,000",00488,麗新發展,HKD,HKEX, ,"15,000"
"2,000",00489,東風集團股份,HKD,HKEX, ,"2,000"
"20,000",00491,漢傳媒,HKD,HKEX, ,"20,000"
"1,000",00493,國美電器,HKD,HKEX, ,"1,000"
"2,000",00494,利豐,HKD,HKEX, ,"2,000"
"5,000",00495,PALADIN,HKD,HKEX, ,"5,000"
"1,000",00496,卡森國際,HKD,HKEX, ,"1,000"
"10,000",00497,資本策略地產,HKD,HKEX, ,"10,000"
"2,000",00498,保華集團,HKD,HKEX, ,"2,000"
